Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PETR3;23/06/2023;34,82;34,87;33,42;33,90;401.352.311,00;11.743.500
PETR3;22/06/2023;35,34;35,49;34,76;35,09;477.868.270,00;13.625.400
PETR3;21/06/2023;34,73;35,85;34,64;35,68;603.228.673,00;16.983.900
PETR3;20/06/2023;34,08;34,40;33,46;34,31;683.996.732,00;20.061.400
PETR3;19/06/2023;33,39;34,24;33,29;34,22;192.872.364,00;5.668.000
PETR3;16/06/2023;33,12;33,67;32,84;33,39;683.277.068,00;20.471.700
PETR3;15/06/2023;33,65;34,40;33,07;33,19;671.371.141,00;19.877.200
PETR3;14/06/2023;32,47;33,69;32,35;33,69;1.175.164.728,00;35.205.100
PETR3;13/06/2023;32,78;32,78;31,99;32,30;802.700.863,00;24.872.900
PETR3;12/06/2023;31,98;32,60;31,81;32,39;809.407.625,00;23.806.000
PETR3;09/06/2023;30,70;32,02;30,60;31,98;623.336.036,00;18.762.600
PETR3;07/06/2023;30,18;30,56;29,97;30,51;662.190.907,00;20.669.600
PETR3;06/06/2023;28,99;29,72;28,73;29,59;537.091.734,00;17.307.900
PETR3;05/06/2023;29,03;29,34;28,80;29,00;245.852.447,00;8.037.200
PETR3;02/06/2023;29,06;29,13;28,64;28,82;319.539.543,00;10.484.600
PETR3;01/06/2023;27,77;28,57;27,72;28,48;396.655.891,00;13.273.400
PETR3;31/05/2023;27,68;28,03;27,42;27,68;531.059.750,00;18.150.400
PETR3;30/05/2023;28,23;28,38;27,83;28,02;504.812.888,00;17.069.100
PETR3;29/05/2023;28,31;28,46;28,06;28,28;107.251.884,00;3.600.800
PETR3;26/05/2023;28,31;28,47;28,03;28,46;290.531.254,00;9.724.700
PETR3;25/05/2023;28,42;28,42;27,78;28,00;312.414.393,00;10.549.800
PETR3;24/05/2023;27,76;28,37;27,68;28,21;211.686.139,00;7.137.600
PETR3;23/05/2023;27,48;28,17;27,36;27,90;308.462.953,00;10.472.900
PETR3;22/05/2023;27,74;28,03;27,24;27,34;302.849.713,00;10.450.100
PETR3;19/05/2023;27,95;28,02;27,64;27,75;386.994.285,00;13.203.700
PETR3;18/05/2023;27,41;27,65;27,08;27,62;651.276.915,00;22.510.600
PETR3;17/05/2023;27,98;28,08;27,30;27,50;719.689.312,00;24.719.800
PETR3;16/05/2023;27,06;28,42;27,06;27,67;927.004.243,00;31.495.900
